EwEVersion,"6.6.8.18072 (compiled 11/4/2022)"
Date,"1/5/2024 1:21:45 PM"
ModelName,"NWACS AM 7ages"
EcosimScenario,base_run
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,ConsumptionBiomass

timestep\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
1,7.087879,2.992045,1.812771,18.26072,9.078101,6.210421,5.057686,4.383771,4.056715,3.754016,1.810016,13.07399,3.174503,9.969397,3.771572,10.88836,3.65887,7.333317,12.46972,154.6023,0,0
2,7.081671,2.987633,1.822463,18.25353,9.060081,6.173483,5.026791,4.342682,4.019921,3.731601,1.810879,13.14088,3.191087,9.966087,3.773159,10.88578,3.658698,7.332667,12.46972,154.6039,0,0
3,7.07987,2.983401,1.831473,18.25348,9.046328,6.144379,4.998209,4.308514,3.984964,3.711071,1.811716,13.20532,3.207153,9.965715,3.774966,10.88697,3.658041,7.332155,12.4698,154.6099,0,0
4,7.07975,2.979279,1.839968,18.25376,9.035741,6.121493,4.971651,4.280107,3.951674,3.692274,1.812523,13.25979,3.222827,9.966512,3.77689,10.88855,3.656762,7.331569,12.46992,154.6178,0,0
5,7.080394,2.975264,1.848007,18.2549,9.027637,6.103659,4.946876,4.256629,3.91991,3.675134,1.813304,13.30193,3.238092,9.967774,3.778877,10.89118,3.654901,7.330939,12.47007,154.6267,0,0
6,7.081328,2.971367,1.855663,18.25709,9.02152,6.089955,4.923615,4.237422,3.889495,3.659583,1.814065,13.33171,3.25296,9.969107,3.780892,10.8946,3.652504,7.330289,12.47025,154.6363,0,0
7,7.082304,2.967598,1.863008,18.25953,9.017021,6.079647,4.901582,4.221963,3.860228,3.645551,1.814812,13.34932,3.26746,9.970299,3.7829,10.89756,3.649619,7.329627,12.47045,154.6463,0,0
8,7.083208,2.963966,1.870108,18.26058,9.013885,6.072142,4.880494,4.209829,3.831897,3.632974,1.815547,13.35375,3.281626,9.971271,3.784873,10.89811,3.646288,7.328959,12.47067,154.6567,0,0
9,7.084002,2.960474,1.877017,18.25815,9.011931,6.066967,4.860078,4.200682,3.804295,3.621792,1.816275,13.34211,3.295484,9.972036,3.786782,10.89377,3.642552,7.328283,12.47091,154.6671,0,0
10,7.084695,2.957111,1.883778,18.24998,9.011046,6.063739,4.840083,4.194247,3.777221,3.611948,1.816997,13.30985,3.309052,9.972663,3.788603,10.88191,3.638457,7.327601,12.47115,154.6778,0,0
11,7.085318,2.95386,1.890415,18.23404,9.011162,6.062158,4.820278,4.190309,3.750488,3.603391,1.817717,13.25174,3.322333,9.973248,3.79031,10.85992,3.634043,7.326913,12.4714,154.6885,0,0
12,7.085912,2.950691,1.89694,18.20876,9.01224,6.061979,4.80046,4.188692,3.723929,3.596076,1.818437,13.16318,3.335314,9.973906,3.791882,10.82557,3.629355,7.326221,12.47165,154.6992,0,0
13,7.086523,2.950186,1.901274,18.19927,9.007025,6.061059,4.789024,4.183036,3.705964,3.587789,1.819888,13.16045,3.407763,9.977644,3.821442,10.48939,3.604665,7.325526,12.4719,154.71,0,0
14,7.086975,2.949341,1.908363,18.20981,8.99608,6.060034,4.780458,4.176668,3.691202,3.579657,1.821386,13.14729,3.4584,9.974376,3.837355,10.49098,3.599687,7.324812,12.47216,154.721,0,0
15,7.087543,2.948008,1.914859,18.22038,8.983761,6.059066,4.773998,4.169797,3.679128,3.571871,1.822906,13.12349,3.508517,9.968901,3.850667,10.49307,3.596115,7.324099,12.47244,154.7321,0,0
16,7.08834,2.94624,1.920833,18.22982,8.97067,6.058321,4.769117,4.162509,3.669315,3.564469,1.824458,13.09159,3.557946,9.962599,3.861755,10.49431,3.593982,7.323402,12.47277,154.7431,0,0
17,7.089439,2.944088,1.926341,18.23747,8.957271,6.057956,4.765417,4.154806,3.661456,3.557451,1.826044,13.05264,3.60656,9.956365,3.87094,10.49381,3.593292,7.322731,12.47313,154.754,0,0
18,7.090883,2.941606,1.931444,18.24332,8.943824,6.058115,4.762595,4.146635,3.655338,3.550787,1.82767,13.00801,3.654245,9.950809,3.878509,10.49172,3.59402,7.322092,12.47353,154.7645,0,0
19,7.092681,2.938847,1.936199,18.24759,8.930487,6.058921,4.760432,4.137905,3.650819,3.544435,1.829333,12.9601,3.70089,9.946436,3.884702,10.48937,3.596121,7.321488,12.47397,154.7747,0,0
20,7.094817,2.935865,1.940663,18.2506,8.917355,6.060471,4.758764,4.128507,3.647809,3.538335,1.831033,12.91261,3.746394,9.943735,3.889725,10.48922,3.599526,7.320917,12.47444,154.7845,0,0
21,7.097235,2.932708,1.94489,18.25264,8.904485,6.062834,4.757473,4.118319,3.646262,3.532423,1.832763,12.87065,3.790662,9.943259,3.893746,10.49465,3.604149,7.32038,12.47494,154.7938,0,0
22,7.099853,2.929425,1.948931,18.25395,8.891925,6.066052,4.756476,4.107225,3.646159,3.526629,1.83452,12.83976,3.833609,9.945657,3.896905,10.50986,3.60989,7.319877,12.47548,154.8026,0,0
23,7.102558,2.926056,1.952835,18.25468,8.879714,6.070146,4.755716,4.095109,3.647506,3.520884,1.836293,12.82631,3.87516,9.951678,3.899314,10.53981,3.616637,7.319403,12.47606,154.811,0,0
24,7.105227,2.922644,1.956647,18.25488,8.867902,6.075106,4.755157,4.08187,3.650327,3.515118,1.838078,12.83731,3.915249,9.962194,3.901063,10.59032,3.624275,7.318957,12.47666,154.8189,0,0
25,7.106638,2.914057,1.951532,18.25447,8.861392,6.07484,4.754486,4.074461,3.649276,3.512678,1.840011,13.64566,3.960125,9.960503,3.88575,10.95962,3.614147,7.318538,12.47729,154.8264,0,0
26,7.109288,2.906572,1.955096,18.25314,8.862515,6.069493,4.753944,4.069055,3.647093,3.511321,1.841954,13.65042,4.002376,9.952593,3.878985,10.9592,3.623612,7.31814,12.47795,154.8333,0,0
27,7.112464,2.899617,1.958783,18.25106,8.867066,6.062876,4.753551,4.065117,3.643988,3.510803,1.843903,13.6594,4.04398,9.942888,3.873404,10.95744,3.630554,7.317761,12.47863,154.8399,0,0
28,7.115691,2.893077,1.962544,18.2483,8.873933,6.055643,4.75343,4.062274,3.640096,3.510979,1.845853,13.66498,4.084665,9.933021,3.868727,10.9562,3.635071,7.317403,12.47932,154.846,0,0
29,7.118714,2.886862,1.966338,18.24584,8.88208,6.048279,4.753713,4.060246,3.635466,3.511751,1.847798,13.66596,4.124217,9.923968,3.864749,10.95686,3.637286,7.317067,12.48004,154.8516,0,0
30,7.121455,2.880887,1.970122,18.24402,8.890839,6.041057,4.754511,4.058831,3.630088,3.513052,1.849737,13.66233,4.162459,9.916205,3.8613,10.95947,3.637356,7.316753,12.48077,154.8569,0,0
31,7.123923,2.875078,1.973857,18.24225,8.899854,6.034122,4.755919,4.057877,3.623908,3.51484,1.85167,13.65283,4.199255,9.909829,3.858252,10.96225,3.635453,7.316456,12.48152,154.8617,0,0
32,7.126169,2.869378,1.977515,18.24054,8.908829,6.027544,4.758003,4.057284,3.616849,3.517094,1.8536,13.63384,4.234498,9.904637,3.855511,10.96167,3.631769,7.316181,12.48228,154.8661,0,0
33,7.128233,2.863738,1.981071,18.23886,8.917571,6.021344,4.760805,4.056981,3.608818,3.519804,1.855531,13.59971,4.268098,9.900197,3.853008,10.95284,3.626495,7.315924,12.48306,154.8701,0,0
34,7.130136,2.858117,1.984503,18.23719,8.925958,6.015519,4.764337,4.056924,3.599713,3.522972,1.857467,13.54233,4.299991,9.895899,3.85069,10.93016,3.619822,7.315686,12.48385,154.8737,0,0
35,7.131872,2.852479,1.987793,18.23554,8.933917,6.010057,4.76859,4.057093,3.589436,3.526604,1.859412,13.45418,4.330129,9.891006,3.848525,10.8882,3.611935,7.315469,12.48465,154.877,0,0
36,7.133404,2.846795,1.990928,18.2339,8.941419,6.004945,4.773536,4.057478,3.577893,3.530714,1.86137,13.3307,4.358478,9.884671,3.84649,10.82257,3.60301,7.31527,12.48546,154.8799,0,0
37,7.136136,2.834046,2.006112,18.23237,8.948006,6.001338,4.773466,4.057256,3.571319,3.533935,1.863267,12.08522,4.377169,9.892679,3.918051,10.46119,3.604741,7.315089,12.48628,154.8824,0,0
38,7.138838,2.82232,2.00915,18.23093,8.954308,6.001921,4.768416,4.057004,3.566584,3.537098,1.865208,12.01197,4.395934,9.90186,3.954092,10.46203,3.593877,7.314921,12.48712,154.8848,0,0
39,7.140637,2.810971,2.012006,18.2298,8.960181,6.0041,4.761858,4.05679,3.563204,3.540283,1.867197,11.93624,4.412997,9.911661,3.984372,10.464,3.584716,7.314765,12.48799,154.8869,0,0
40,7.141778,2.800004,2.014745,18.229,8.965699,6.007309,4.754593,4.056772,3.560808,3.543488,1.869242,11.86546,4.428563,9.921167,4.009703,10.46529,3.577402,7.314624,12.48888,154.8888,0,0
41,7.142246,2.789425,2.017419,18.2284,8.971136,6.010956,4.747218,4.057094,3.55912,3.546688,1.871348,11.80067,4.442861,9.929886,4.030794,10.46472,3.572047,7.314495,12.4898,154.8906,0,0
42,7.141905,2.779239,2.020076,18.22777,8.976665,6.014681,4.740086,4.057886,3.557939,3.549845,1.873514,11.74333,4.4561,9.937822,4.048266,10.46253,3.568729,7.314377,12.49075,154.8922,0,0
43,7.140589,2.769453,2.022762,18.22681,8.982272,6.018358,4.733399,4.059251,3.55712,3.552909,1.875732,11.69636,4.468468,9.945524,4.062648,10.46056,3.567482,7.314272,12.49174,154.8937,0,0
44,7.138134,2.760074,2.025523,18.22518,8.988027,6.021859,4.727264,4.061265,3.556563,3.555825,1.877992,11.66573,4.480112,9.954081,4.074392,10.46206,3.568298,7.314184,12.49275,154.8949,0,0
45,7.134414,2.751112,2.028401,18.22283,8.993952,6.025109,4.72172,4.063977,3.556204,3.558536,1.880277,11.66263,4.4911,9.965104,4.083875,10.4715,3.57113,7.31411,12.49379,154.896,0,0
46,7.129353,2.742572,2.031435,18.22251,8.999685,6.028066,4.716767,4.067408,3.556004,3.560983,1.882569,11.70222,4.501439,9.980703,4.091417,10.49438,3.575897,7.314053,12.49487,154.8969,0,0
47,7.1229,2.734446,2.034643,18.22249,9.005542,6.030716,4.712381,4.071556,3.555946,3.563112,1.884846,11.80634,4.511062,10.00344,4.097265,10.53732,3.58248,7.314011,12.49597,154.8975,0,0
48,7.115095,2.726743,2.038061,18.22282,9.011576,6.033063,4.708533,4.0764,3.556028,3.564868,1.887084,12.01106,4.519805,10.03637,4.101644,10.6083,3.59074,7.313986,12.49709,154.8979,0,0
49,7.109511,2.717791,2.026714,18.22423,9.019331,6.039383,4.70932,4.078889,3.556382,3.569033,1.889879,12.06236,4.453913,10.02569,4.069971,10.58565,3.590336,7.31398,12.49824,154.898,0,0
50,7.103876,2.709594,2.029876,18.22632,9.026464,6.042888,4.711488,4.076669,3.556789,3.57362,1.892716,12.04343,4.415044,10.00464,4.056523,10.59426,3.602168,7.313986,12.49945,154.8981,0,0
51,7.097885,2.701717,2.033182,18.2282,9.033906,6.045729,4.71472,4.072776,3.557394,3.578425,1.895563,12.04566,4.38009,9.980077,4.044894,10.60262,3.613325,7.31401,12.5007,154.8979,0,0
52,7.092189,2.694145,2.036556,18.2295,9.041751,6.048028,4.718625,4.067917,3.558297,3.583321,1.898417,12.06352,4.348211,9.956623,4.034716,10.61045,3.623669,7.314054,12.50198,154.8975,0,0
53,7.087366,2.686869,2.039978,18.23004,9.050013,6.049976,4.722754,4.062634,3.559604,3.588209,1.901271,12.09098,4.318977,9.936893,4.02573,10.61763,3.633087,7.314121,12.50329,154.8968,0,0
54,7.083907,2.679876,2.043432,18.22974,9.058642,6.051714,4.726839,4.057268,3.561406,3.593013,1.904122,12.12341,4.292037,9.922045,4.017744,10.6242,3.6415,7.314207,12.50461,154.8959,0,0
55,7.082201,2.673152,2.046903,18.22862,9.067547,6.053283,4.730816,4.052041,3.563778,3.597671,1.906963,12.15592,4.267113,9.912162,4.010614,10.63015,3.648862,7.314312,12.50595,154.8947,0,0
56,7.082543,2.666681,2.050374,18.22676,9.0766,6.054754,4.734612,4.047078,3.566777,3.602139,1.909789,12.18526,4.24396,9.906542,4.00423,10.63545,3.655158,7.314431,12.5073,154.8932,0,0
57,7.085132,2.660444,2.053828,18.22425,9.085709,6.056149,4.738183,4.042449,3.570436,3.606385,1.912593,12.20592,4.222396,9.9039,3.998502,10.64002,3.660404,7.314563,12.50864,154.8916,0,0
58,7.09008,2.654419,2.057246,18.22123,9.09532,6.057073,4.741508,4.038181,3.574772,3.610384,1.915372,12.21212,4.202264,9.902536,3.993362,10.64377,3.664637,7.314708,12.50998,154.8898,0,0
59,7.097424,2.648583,2.060612,18.2188,9.104895,6.057817,4.744587,4.034281,3.57978,3.614121,1.918119,12.19744,4.183437,9.900478,3.98875,10.64654,3.667912,7.314858,12.51132,154.8879,0,0
60,7.107126,2.642904,2.063904,18.21701,9.11429,6.058441,4.747429,4.030736,3.585435,3.617586,1.920829,12.15536,4.165803,9.895498,3.984618,10.64815,3.670298,7.315014,12.51265,154.8858,0,0
61,7.111077,2.638254,2.062185,18.22095,9.161587,6.163197,4.813471,4.054931,3.597982,3.625705,1.924554,11.97843,4.162635,9.954,3.919079,10.64009,3.653107,7.31517,12.51394,154.8836,0,0
62,7.115918,2.634748,2.063121,18.21899,9.184251,6.205636,4.852917,4.073939,3.604051,3.631516,1.928304,11.98918,4.1562,9.988673,3.884552,10.6426,3.654131,7.315505,12.51524,154.8791,0,0
63,7.122334,2.631968,2.064933,18.21683,9.202674,6.238519,4.889425,4.094009,3.608389,3.637217,1.93202,11.99021,4.149672,10.01539,3.854684,10.64498,3.654433,7.315943,12.51659,154.8733,0,0
64,7.129408,2.629789,2.067387,18.21412,9.21731,6.2638,4.92313,4.114455,3.611575,3.642792,1.935689,11.98641,4.143098,10.03474,3.828629,10.64758,3.654088,7.316425,12.51796,154.8665,0,0
65,7.136471,2.628103,2.070313,18.21076,9.228537,6.283058,4.95433,4.13462,3.614032,3.648247,1.939297,11.98145,4.136478,10.04766,3.805732,10.65065,3.653189,7.316923,12.51934,154.8593,0,0
66,7.143025,2.626821,2.073574,18.20704,9.236681,6.297551,4.98336,4.154057,3.616015,3.653596,1.942836,11.97841,4.129806,10.05508,3.785485,10.65422,3.651837,7.317412,12.52074,154.8519,0,0
67,7.148715,2.625869,2.077062,18.20403,9.241951,6.308259,5.010539,4.172542,3.617667,3.658856,1.946299,11.97962,4.12308,10.05765,3.767502,10.65812,3.650128,7.317881,12.52214,154.8445,0,0
68,7.153255,2.625186,2.080688,18.20329,9.244501,6.31594,5.036218,4.1899,3.61905,3.664043,1.949681,11.98604,4.116318,10.0556,3.751487,10.66199,3.648152,7.318325,12.52355,154.8375,0,0
69,7.156431,2.624725,2.084385,18.20507,9.244659,6.321187,5.060705,4.20602,3.620176,3.669167,1.952977,12.00016,4.109526,10.04867,3.737211,10.6653,3.645987,7.318736,12.52497,154.8307,0,0
70,7.15809,2.624451,2.088108,18.20998,9.24265,6.324701,5.083876,4.220848,3.621026,3.674229,1.956187,12.02624,4.102712,10.0362,3.724505,10.6674,3.643706,7.319111,12.52639,154.8245,0,0
71,7.158116,2.624335,2.091833,18.21824,9.238859,6.326513,5.106276,4.234368,3.621565,3.679228,1.959309,12.06716,4.095907,10.01728,3.713235,10.66759,3.641366,7.319449,12.52782,154.8189,0,0
72,7.156422,2.624361,2.095546,18.2295,9.233468,6.326884,5.128205,4.246597,3.62175,3.684152,1.962344,12.12871,4.089133,9.990941,3.703295,10.66511,3.639015,7.319741,12.52925,154.8138,0,0
73,7.159173,2.625664,2.102426,18.21899,9.227086,6.312287,5.129166,4.254309,3.623956,3.68767,1.965703,12.40981,4.089932,9.968639,3.727189,10.66537,3.631235,7.319988,12.53069,154.8095,0,0
74,7.161795,2.62659,2.108631,18.20875,9.224247,6.308249,5.130936,4.262653,3.629305,3.689913,1.968975,12.43553,4.0892,9.986155,3.73548,10.67024,3.628913,7.32013,12.53215,154.8065,0,0
75,7.16503,2.627165,2.114786,18.19926,9.221235,6.305412,5.130376,4.27046,3.636146,3.691913,1.972141,12.46773,4.088622,10.01574,3.742325,10.6751,3.62677,7.320182,12.53362,154.8047,0,0
76,7.168341,2.627415,2.120875,18.19082,9.217684,6.303298,5.128417,4.277946,3.643919,3.693715,1.9752,12.50156,4.088158,10.04962,3.74801,10.68004,3.624829,7.320152,12.5351,154.8042,0,0
77,7.171484,2.627349,2.126884,18.1831,9.213378,6.301546,5.1257,4.28541,3.652075,3.695351,1.978151,12.53405,4.087771,10.08272,3.752744,10.68508,3.623098,7.32005,12.5366,154.8049,0,0
78,7.174346,2.626975,2.1328,18.17976,9.207553,6.299905,5.122641,4.293128,3.660231,3.696802,1.980995,12.56334,4.08744,10.11208,3.756682,10.69017,3.621584,7.319882,12.5381,154.8066,0,0
79,7.176847,2.626278,2.138583,18.18014,9.200317,6.298136,5.119478,4.301314,3.668204,3.698031,1.983728,12.58787,4.087141,10.13632,3.759901,10.69525,3.620284,7.319653,12.53962,154.8094,0,0
80,7.178949,2.625252,2.144194,18.18174,9.192157,6.296042,5.116334,4.310195,3.675843,3.69899,1.986352,12.60604,4.086854,10.15538,3.762455,10.70018,3.619194,7.319368,12.54114,154.8131,0,0
81,7.180674,2.623899,2.149605,18.18371,9.183019,6.293729,5.113255,4.31995,3.683051,3.699623,1.988867,12.61615,4.08657,10.17028,3.764394,10.70481,3.618303,7.319036,12.54267,154.8177,0,0
82,7.182053,2.622224,2.15479,18.18541,9.172931,6.291259,5.11039,4.330404,3.689767,3.69988,1.991273,12.61578,4.086285,10.18287,3.765751,10.70898,3.617598,7.318663,12.5442,154.8231,0,0
83,7.183101,2.620231,2.159728,18.18967,9.161389,6.288797,5.107441,4.341884,3.695965,3.699713,1.993571,12.60196,4.085992,10.19567,3.766551,10.7125,3.617065,7.318257,12.54575,154.8292,0,0
84,7.183807,2.617918,2.164375,18.19442,9.148751,6.286453,5.104354,4.354548,3.701641,3.699083,1.995761,12.57156,4.085676,10.21178,3.766779,10.71521,3.61669,7.31782,12.54729,154.8359,0,0
85,7.183931,2.614506,2.167502,18.2057,9.145698,6.334823,5.132747,4.371879,3.711736,3.701229,1.997698,12.42685,4.080438,10.18373,3.762332,10.71693,3.617951,7.31736,12.54883,154.8431,0,0
86,7.184214,2.610814,2.169501,18.21471,9.130345,6.353895,5.147146,4.382203,3.720651,3.702241,1.99953,12.43615,4.076308,10.15911,3.760024,10.72128,3.61787,7.316982,12.55036,154.8496,0,0
87,7.184736,2.606903,2.171464,18.22322,9.112973,6.369296,5.16069,4.390613,3.729599,3.703052,2.001261,12.44102,4.072298,10.13652,3.757793,10.72561,3.617987,7.316654,12.5519,154.8556,0,0
88,7.185566,2.602777,2.173355,18.23072,9.094671,6.381434,5.173184,4.39762,3.738633,3.703576,2.002888,12.44442,4.068414,10.11842,3.755616,10.72975,3.618267,7.316348,12.55343,154.8614,0,0
89,7.186684,2.598438,2.175127,18.23705,9.076218,6.390734,5.184553,4.403575,3.747908,3.70371,2.004411,12.44826,4.064662,10.10591,3.753483,10.73367,3.618687,7.316051,12.55496,154.867,0,0
90,7.188036,2.593884,2.176743,18.24226,9.058956,6.396836,5.194821,4.408703,3.757577,3.703407,2.005829,12.45364,4.061041,10.09912,3.751392,10.73739,3.619225,7.315763,12.55647,154.8726,0,0
91,7.189567,2.589113,2.178169,18.24669,9.043306,6.400224,5.204009,4.413129,3.767768,3.702679,2.00714,12.4615,4.057546,10.09756,3.749347,10.74097,3.619864,7.315476,12.55799,154.8781,0,0
92,7.191217,2.584125,2.179379,18.25193,9.02894,6.40172,5.212163,4.4169,3.77863,3.701518,2.008345,12.47296,4.054165,10.10039,3.747357,10.7445,3.620587,7.315194,12.55949,154.8836,0,0
93,7.19293,2.578914,2.180341,18.25826,9.015887,6.401669,5.219606,4.420029,3.790286,3.699924,2.009443,12.48892,4.050886,10.10656,3.745427,10.74808,3.621385,7.31492,12.56099,154.8891,0,0
94,7.194685,2.573479,2.181041,18.26567,9.004144,6.400387,5.226589,4.422657,3.80254,3.697905,2.010433,12.51073,4.0477,10.11495,3.743569,10.75182,3.622245,7.314652,12.56249,154.8945,0,0
