EwEVersion,"6.6.8.18072 (compiled 11/4/2022)"
Date,"1/5/2024 1:21:45 PM"
ModelName,"NWACS AM 7ages"
EcosimScenario,base_run
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,ConsumptionBiomass

year\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
1985,7.083029,2.970224,1.857634,18.25038,9.028892,6.104168,4.918984,4.251237,3.880895,3.661284,1.814357,13.25696,3.258158,9.969834,3.781809,10.88269,3.648341,7.329878,12.47047,154.6444,0,0
1986,7.093506,2.938751,1.93194,18.23787,8.937541,6.06234,4.765386,4.138532,3.662607,3.549154,1.828698,12.98585,3.671283,9.956971,3.873844,10.50554,3.602696,7.321973,12.47396,154.7675,0,0
1987,7.1215,2.878888,1.971673,18.24376,8.897115,6.03881,4.758735,4.061135,3.621886,3.516885,1.850692,13.59686,4.172356,9.917953,3.862116,10.93887,3.625543,7.316721,12.48124,154.8569,0,0
1988,7.13517,2.7767,2.021694,18.22674,8.979754,6.016457,4.738808,4.061888,3.559737,3.550631,1.874856,11.83227,4.457134,9.948358,4.038043,10.48449,3.579795,7.314408,12.49142,154.8919,0,0
1989,7.09327,2.678015,2.045217,18.22539,9.064539,6.05127,4.728406,4.055076,3.565904,3.594492,1.90547,12.12845,4.291104,9.937258,4.019138,10.62324,3.63928,7.314354,12.50534,154.8939,0,0
1990,7.140772,2.628217,2.076595,18.21323,9.223094,6.28127,4.986871,4.158024,3.61444,3.655729,1.944125,12.00767,4.126214,10.02516,3.789616,10.65547,3.649095,7.317552,12.52149,154.8486,0,0
1991,7.1738,2.624747,2.134806,18.19132,9.197479,6.298759,5.119874,4.300184,3.663342,3.69589,1.981727,12.54261,4.08747,10.10561,3.754022,10.69191,3.622131,7.319432,12.53891,154.8137,0,0
1992,7.189693,2.590226,2.176312,18.24464,9.057587,6.385183,5.194105,4.406449,3.765897,3.700612,2.005865,12.47537,4.059971,10.12339,3.750693,10.73884,3.620111,7.315662,12.55719,154.875,0,0
1993,7.201867,2.535564,2.179244,18.30175,9.052949,6.55968,5.468731,4.551276,3.900548,3.694496,2.017361,12.49507,4.019097,10.15557,3.609514,10.78153,3.624412,7.314691,12.57504,154.9063,0,0
1994,7.213022,2.465408,2.170652,18.32475,9.137714,6.646528,5.62591,4.7102,3.998509,3.700455,2.019252,12.71209,3.994018,10.22707,3.514452,10.80694,3.625675,7.318253,12.59256,154.8597,0,0
1995,7.2146,2.325176,2.090793,18.31893,9.230113,6.626011,5.609209,4.722214,4.082484,3.710201,1.992361,12.69152,3.871342,10.25631,3.487171,10.83708,3.661112,7.323594,12.60662,154.7762,0,0
1996,7.201943,2.198937,2.011833,18.3279,9.412597,6.979032,5.91912,4.848149,4.148661,3.77522,1.95652,12.92297,3.776758,10.26382,3.536094,10.84393,3.679049,7.33221,12.6123,154.6379,0,0
1997,7.201388,2.111084,1.979881,18.32369,9.462952,6.934938,5.963594,4.923152,4.192815,3.836094,1.925123,12.86093,3.798519,10.23167,3.62905,10.84955,3.695055,7.342384,12.61399,154.4653,0,0
1998,7.181557,2.051059,1.982896,18.31246,9.633254,7.085447,6.025454,4.964196,4.270801,3.892956,1.895901,12.64927,3.790288,10.15253,3.732775,10.82685,3.701753,7.351683,12.61139,154.3158,0,0
1999,7.152191,2.015255,2.003045,18.30834,9.851886,7.353857,6.255148,5.034702,4.34886,4.004841,1.86965,12.81505,3.6914,10.10841,3.86069,10.82728,3.720706,7.365038,12.6048,154.1094,0,0
2000,7.126329,2.031494,2.020077,18.30137,10.11812,7.514205,6.322205,5.115033,4.398901,4.15446,1.850632,12.81388,3.648093,10.02036,3.99301,10.82409,3.723307,7.381712,12.59377,153.854,0,0
2001,7.141746,2.067019,1.987314,18.28133,10.50462,7.722707,6.379723,5.13277,4.503564,4.294047,1.831241,13.02086,3.669134,9.957505,3.961887,10.80684,3.74166,7.4012,12.58046,153.561,0,0
2002,7.117424,2.119015,1.948088,18.38747,11.41724,8.709395,7.244377,5.56275,4.724574,4.529502,1.815424,12.91136,3.611849,9.943555,3.975582,10.83257,3.751348,7.427603,12.56646,153.1628,0,0
2003,7.108022,2.180561,1.92584,18.51871,11.36089,7.535425,5.77113,5.394979,4.798978,4.579214,1.801398,12.91544,3.571486,9.913562,3.910947,10.78498,3.762489,7.449251,12.55355,152.8188,0,0
2004,7.095459,2.266783,1.903473,18.30597,12.38116,8.653743,6.934167,5.450953,5.102417,4.559994,1.788651,12.89528,3.593596,9.910682,3.770446,10.79121,3.781376,7.46578,12.5409,152.5651,0,0
2005,7.090527,2.366548,1.905576,18.45003,11.17463,6.37817,4.579515,4.626133,4.581494,4.409845,1.780636,12.85829,3.607964,9.929927,3.712644,10.77038,3.787093,7.472274,12.52993,152.456,0,0
2006,7.08958,2.450271,1.890931,17.80525,11.32592,6.983953,4.849036,3.901272,4.201042,4.403369,1.771083,12.82056,3.607853,9.931864,3.731062,10.87339,3.79095,7.475597,12.52077,152.4116,0,0
2007,7.088675,2.521143,1.86517,17.91928,11.10744,6.559784,5.300563,4.013354,3.529622,4.487967,1.762989,12.73781,3.636662,9.90808,3.77893,10.73923,3.769375,7.476967,12.51139,152.3907,0,0
2008,7.080083,2.610056,1.898271,17.95112,11.01126,6.416494,5.070313,4.486754,3.631418,4.55262,1.764712,12.67539,3.685867,9.877849,3.72447,10.76982,3.77845,7.476393,12.50606,152.4032,0,0
2009,7.098694,2.634761,1.858462,17.7846,11.012,6.548547,5.009128,4.366994,4.091343,4.619233,1.759885,12.62493,3.675932,9.882071,3.68296,10.7271,3.816696,7.476036,12.50241,152.4092,0,0
2010,7.08044,2.756216,1.96781,17.83337,10.89869,6.383299,5.124014,4.268767,3.985404,4.71399,1.774688,12.69229,3.765389,9.882407,3.584107,10.75118,3.760001,7.472922,12.50047,152.4512,0,0
2011,7.154789,2.869102,2.091427,17.83501,10.79753,6.310744,4.986088,4.387962,3.883686,4.518611,1.802499,12.68362,3.825463,9.915026,3.491173,10.73299,3.715564,7.466461,12.50671,152.5475,0,0
2012,7.204802,2.905616,2.107374,17.79653,10.77937,6.475546,5.113359,4.357819,4.032782,4.547722,1.822526,12.80745,3.788909,9.959488,3.496285,10.73872,3.695791,7.45876,12.51551,152.6579,0,0
2013,7.192934,2.897665,2.148656,17.89108,10.57013,6.327167,5.074026,4.358162,3.961379,4.538725,1.840955,12.82914,3.7282,9.978954,3.499906,10.82354,3.685896,7.44798,12.52702,152.8129,0,0
2014,7.176835,2.838147,2.176333,17.87138,10.46171,6.368366,5.043705,4.373908,3.970141,4.465368,1.857544,12.96539,3.65805,10.00903,3.465784,10.78166,3.658823,7.435236,12.53918,153.0037,0,0
2015,7.166669,2.78016,2.221922,17.90864,10.19741,6.348267,5.061021,4.319492,3.971457,4.433119,1.873007,12.84083,3.667555,10.04327,3.466403,10.78136,3.650137,7.418474,12.55105,153.2563,0,0
2016,7.16752,2.724496,2.289323,17.98332,9.881466,6.279068,5.046508,4.328282,3.90568,4.347923,1.882276,13.13366,3.646065,10.05607,3.468222,10.82232,3.657514,7.396821,12.56238,153.5952,0,0
2017,7.141381,2.670731,2.309548,18.06127,9.607602,6.301566,5.067727,4.356614,3.908573,4.232853,1.880953,13.20658,3.727123,10.05812,3.485197,10.84343,3.657379,7.374539,12.56985,153.9592,0,0
