EwEVersion,"6.6.8.18072 (compiled 11/4/2022)"
Date,"1/5/2024 1:21:45 PM"
ModelName,"NWACS AM 7ages"
EcosimScenario,base_run
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,Mortality

year\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
1985,1.121681,0.6485587,0.3342237,1.735327,1.297091,1.276769,1.380469,0.9824819,0.9444337,0.7146747,0.3209729,3.082724,0.803535,1.439582,1.308171,1.57269,0.8172467,2.177754,2.432109,45.87376,186.4302,0
1986,1.122671,0.6581051,0.3042424,1.733189,1.290074,1.279065,1.388692,0.9867303,0.954919,0.7139279,0.3208867,2.703446,1.277115,1.423238,1.414625,1.146337,0.7561719,2.172122,2.433223,45.91079,186.3942,0
1987,1.119702,0.6243464,0.2257166,1.721292,1.290766,1.270983,1.393705,0.9900293,0.9564876,0.7173545,0.3207535,3.457326,1.288099,1.369576,1.331237,1.606118,0.6830021,2.164916,2.435388,45.93042,186.358,0
1988,1.122432,0.5913392,0.3323897,1.706391,1.290364,1.271458,1.389147,0.9935096,0.9624648,0.7232448,0.3206087,1.43369,1.23785,1.383212,1.612676,1.147801,0.7390903,2.18572,2.438033,45.93666,186.3359,0
1989,1.138492,0.5752103,0.2037875,1.699219,1.294607,1.283977,1.402439,0.9968527,0.9739251,0.7371679,0.3204311,1.816985,0.863035,1.382124,1.465834,1.225587,0.7251695,2.243132,2.441592,45.9344,186.3207,0
1990,1.15127,0.565896,0.1860095,1.694906,1.350665,1.520647,1.575638,1.078504,1.014822,0.771128,0.3202117,1.631209,0.9395342,1.521053,1.250762,1.285154,0.712105,2.322186,2.445271,45.91618,186.3167,0
1991,1.162256,0.569213,0.1919288,1.6937,1.33755,1.476036,1.540132,1.072385,1.027298,0.7898495,0.3200026,2.275519,0.9741285,1.633972,1.408426,1.34878,0.745622,2.382683,2.448984,45.91745,186.3198,0
1992,1.180697,0.5693151,0.2009138,1.737281,1.357312,1.574207,1.609071,1.102476,1.051977,0.8169917,0.319874,2.162359,0.9564299,1.66381,1.387138,1.405483,0.7979366,2.42507,2.452365,45.93933,186.2971,0
1993,1.203532,0.582704,0.2179133,1.774238,1.419716,1.795372,1.771962,1.17548,1.084695,0.8472116,0.319822,2.195012,0.9444857,1.707798,1.205024,1.454869,0.8224587,2.458556,2.455777,45.93938,186.2747,0
1994,1.226766,0.5916254,0.2414726,1.785848,1.444431,1.872537,1.808102,1.19966,1.099226,0.8603463,0.3198252,2.420987,0.9428375,1.810796,1.190199,1.489958,0.8475109,2.468968,2.459162,45.91994,186.2736,0
