EwEVersion,"6.6.8.18072 (compiled 11/4/2022)"
Date,"1/5/2024 1:21:45 PM"
ModelName,"NWACS AM 7ages"
EcosimScenario,base_run
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,AvgWeightOrProdCons

year\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
1985,0.003106019,0.0893496,0.4581034,0.002840683,0.04913626,0.156389,0.2936589,0.4370987,0.5605045,0.7206683,0.1773481,0.001140746,0.1537204,0.002433473,0.07508588,0.002773942,0.1225239,0.3000136,0.1950089,0.2965718,0,0
1986,0.003023848,0.08627652,0.4762155,0.002938204,0.04822909,0.1524085,0.2777187,0.4085129,0.515954,0.6723273,0.1773481,0.001132224,0.1916048,0.002475591,0.07511618,0.00292991,0.1229611,0.3000136,0.1950089,0.2965718,0,0
1987,0.002889751,0.08229399,0.5034875,0.002999781,0.04786735,0.1480754,0.2673919,0.3775647,0.4691863,0.6056345,0.1773481,0.0009865094,0.2439804,0.002479004,0.07489407,0.002764309,0.1199105,0.3000136,0.1950089,0.2965718,0,0
1988,0.0028478,0.07735205,0.5328314,0.003032922,0.04829512,0.1461313,0.2587451,0.3608819,0.4286571,0.5489414,0.1773481,0.00145673,0.274909,0.002580472,0.07347047,0.002845327,0.1269173,0.3000136,0.1950089,0.2965718,0,0
1989,0.002894226,0.07116492,0.5557822,0.003032543,0.04910611,0.1481908,0.2550095,0.3483394,0.4079421,0.5039267,0.1773481,0.001617966,0.181693,0.00255586,0.07352512,0.003020706,0.1154838,0.3000136,0.1950089,0.2965718,0,0
1990,0.002694682,0.0654993,0.5743725,0.00295018,0.05001305,0.1532263,0.2647933,0.3478279,0.3962314,0.4795674,0.1773481,0.001506269,0.1821128,0.002382896,0.07614924,0.002879255,0.1176071,0.3000136,0.1950089,0.2965718,0,0
1991,0.002589184,0.06225159,0.5926192,0.002810419,0.05023023,0.1598439,0.2877062,0.3797939,0.4078001,0.4703979,0.1773481,0.001328962,0.1880025,0.002354624,0.07708131,0.00284392,0.121121,0.3000136,0.1950089,0.2965718,0,0
1992,0.002518525,0.05909494,0.6148531,0.002859201,0.04888016,0.1605314,0.3025645,0.4207022,0.4547718,0.47952,0.1773481,0.00122677,0.2182469,0.002351205,0.07713829,0.002854125,0.1212095,0.3000136,0.1950089,0.2965718,0,0
1993,0.002463787,0.05542416,0.6300213,0.002919643,0.04810566,0.1566672,0.3145172,0.4567339,0.5159885,0.5150535,0.1773481,0.001242665,0.227888,0.002266405,0.0784048,0.002846011,0.1208701,0.3000136,0.1950089,0.2965718,0,0
1994,0.002446546,0.05151604,0.6345399,0.002942867,0.04844913,0.1561372,0.3230794,0.4997059,0.5798532,0.5709043,0.1773481,0.001186031,0.2330589,0.002200076,0.08001768,0.002833004,0.1213942,0.3000136,0.1950089,0.2965718,0,0
1995,0.002468836,0.04748663,0.6275931,0.002919039,0.04934732,0.1589396,0.3278119,0.5281036,0.6488367,0.6403079,0.1773481,0.001144656,0.2484399,0.002170597,0.0815896,0.002884564,0.1204324,0.3000136,0.1950089,0.2965718,0,0
1996,0.002534697,0.04321986,0.5872263,0.002956052,0.05004778,0.163918,0.341279,0.5450687,0.6956632,0.7218133,0.1773481,0.001086882,0.258454,0.002184125,0.0830403,0.002916022,0.1179999,0.3000136,0.1950089,0.2965718,0,0
1997,0.002583479,0.03975676,0.5315735,0.002964488,0.05116254,0.170558,0.3700209,0.5922408,0.7380295,0.8077879,0.1773481,0.001100473,0.2677608,0.002225541,0.08383112,0.002912464,0.1178611,0.3000136,0.1950089,0.2965718,0,0
1998,0.00268681,0.03726454,0.4693926,0.003030637,0.05219358,0.1753246,0.3855221,0.6429523,0.805707,0.8916049,0.1773481,0.00117353,0.2578925,0.002298509,0.08336943,0.002939498,0.1172455,0.3000136,0.1950089,0.2965718,0,0
1999,0.002851615,0.03551161,0.4057374,0.003141817,0.05368875,0.1819205,0.4106725,0.6844152,0.882173,0.9945288,0.1773481,0.001124657,0.2458686,0.002378845,0.08170239,0.002965119,0.1160894,0.3000136,0.1950089,0.2965718,0,0
2000,0.002958233,0.03456417,0.34998,0.003299086,0.05606951,0.1906706,0.440558,0.7414902,0.9499652,1.131199,0.1773481,0.001094168,0.2496352,0.00247227,0.07967941,0.002956664,0.1158654,0.3000136,0.1950089,0.2965718,0,0
