EwEVersion,"6.6.8.18072 (compiled 11/4/2022)"
Date,"1/5/2024 1:21:45 PM"
ModelName,"NWACS AM 7ages"
EcosimScenario,base_run
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,Biomass

year\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
2004,0.0259361,0.07704543,0.1033119,0.01683344,0.08230282,0.02500515,0.0006077276,6.00378E-05,9.606887E-05,0.002872846,0.3750402,0.001253845,0.08165299,0.00045882,0.004838595,0.03462539,0.5748832,0.05170614,14.3359,13.92833,8.549649,12.95554
2005,0.02165436,0.06875535,0.09740892,0.006706957,0.05763331,0.01961787,0.0003459313,1.817416E-05,1.035042E-05,0.001333314,0.3734026,0.001170377,0.07825559,0.0005004705,0.005218742,0.03325369,0.5528268,0.05331755,14.35831,13.94481,8.545461,12.95429
2006,0.01842582,0.06164925,0.0900608,0.006851462,0.03094695,0.02317755,0.001952454,4.669071E-05,5.805765E-06,0.0006498271,0.3712558,0.001137101,0.07572865,0.0005268477,0.00534304,0.03046784,0.5276071,0.05554537,14.37916,13.95188,8.543808,12.9541
2007,0.01621192,0.05508928,0.08071433,0.008583222,0.03918793,0.01547147,0.003015441,0.0003353804,1.586003E-05,0.0003095725,0.3684386,0.001145163,0.07203796,0.000544512,0.005323754,0.03005109,0.4974962,0.05870709,14.40016,13.95379,8.542491,12.95344
2008,0.01458336,0.05030447,0.0718805,0.008330924,0.04605003,0.02509888,0.002885079,0.0006675968,0.0001242468,0.000155768,0.3654453,0.001144036,0.06959788,0.0005604928,0.005574772,0.02940231,0.4891759,0.062556,14.4131,13.95107,8.542562,12.95359
2009,0.01337386,0.04659757,0.06316907,0.01174619,0.04868364,0.02965909,0.00560675,0.0007106829,0.0002614727,0.0001434122,0.3625078,0.00115509,0.06911305,0.0005951072,0.005893329,0.02923396,0.4653498,0.06681801,14.42184,13.94962,8.54253,12.9536
2010,0.01282068,0.04425761,0.05687792,0.01684141,0.07219202,0.03601804,0.007677069,0.00151791,0.0002903285,0.0002356253,0.3595954,0.001103272,0.06781065,0.0006240285,0.006422972,0.0280041,0.4874802,0.07156128,14.42664,13.94114,8.543321,12.95346
2011,0.01255144,0.04441537,0.05608572,0.02307458,0.1016445,0.05975488,0.01137379,0.002369892,0.0006514993,0.0003165522,0.3583609,0.001094439,0.0699443,0.0006677335,0.007026459,0.03010713,0.5387973,0.07553896,14.41404,13.92495,8.546344,12.95432
2012,0.0144259,0.04543567,0.05659037,0.03644971,0.1392444,0.0788307,0.0184846,0.003467385,0.001015744,0.0005681451,0.3586343,0.001097302,0.07541024,0.0006936312,0.007234512,0.03312768,0.5773354,0.07821902,14.39511,13.90598,8.549718,12.95484
2013,0.01778097,0.04858969,0.05660607,0.05015371,0.2118079,0.115244,0.02529335,0.005776793,0.001495478,0.0009519511,0.3601246,0.001185763,0.08267213,0.000688404,0.007282282,0.03397491,0.6228754,0.07927287,14.37022,13.87885,8.554233,12.95537
2014,0.02099983,0.05418999,0.05609955,0.07153615,0.2798532,0.1793411,0.04163022,0.008541978,0.002569808,0.001463593,0.3627648,0.001233873,0.09136707,0.0006772985,0.007412256,0.03642079,0.6670297,0.07850967,14.34485,13.84574,8.559768,12.95636
2015,0.02348884,0.0610993,0.05546982,0.106531,0.3876191,0.2433089,0.06927941,0.01465611,0.003864987,0.00239672,0.3664629,0.001430648,0.09613765,0.000665125,0.007397495,0.03950356,0.7135415,0.0759872,14.32065,13.80092,8.56663,12.95726
2016,0.02528141,0.0682533,0.05307627,0.1509355,0.5334556,0.3480639,0.1028117,0.02592262,0.006776529,0.003703403,0.3710829,0.001333097,0.1027042,0.0006482889,0.007353294,0.041325,0.7548814,0.07210586,14.29979,13.74128,8.575717,12.95907
2017,0.02629592,0.07405464,0.05240032,0.2005239,0.6789193,0.4628588,0.1488013,0.0388204,0.01192218,0.005994888,0.3760205,0.001302497,0.1008577,0.0006407746,0.00731326,0.04232472,0.7764713,0.06798375,14.28939,13.6781,8.585432,12.96179
