index,year,month,value,unit
amo,1984,1,0.679446219,NA
amo,1984,2,0.717784878,NA
amo,1984,3,0.638977636,NA
amo,1984,4,0.570820021,NA
amo,1984,5,0.551650692,NA
amo,1984,6,0.212992545,NA
amo,1984,7,0.338658147,NA
amo,1984,8,0.423855165,NA
amo,1984,9,0.460063898,NA
amo,1984,10,0.172523962,NA
amo,1984,11,0,NA
amo,1984,12,0.227902023,NA
amo,1985,1,0.149094782,NA
amo,1985,2,0.202342918,NA
amo,1985,3,0.144834931,NA
amo,1985,4,0.051118211,NA
amo,1985,5,0.185303514,NA
amo,1985,6,0.632587859,NA
amo,1985,7,0.579339723,NA
amo,1985,8,0.30457934,NA
amo,1985,9,0.376996805,NA
amo,1985,10,0.381256656,NA
amo,1985,11,0.274760383,NA
amo,1985,12,0.18743344,NA
amo,1986,1,0.172523962,NA
amo,1986,2,0.317358892,NA
amo,1986,3,0.28115016,NA
amo,1986,4,0.212992545,NA
amo,1986,5,0.417465389,NA
amo,1986,6,0.347177849,NA
amo,1986,7,0.37486688,NA
amo,1986,8,0.323748669,NA
amo,1986,9,0.436634718,NA
amo,1986,10,0.225772098,NA
amo,1986,11,0.057507987,NA
amo,1986,12,0.112886049,NA
amo,1987,1,0.310969116,NA
amo,1987,2,0.440894569,NA
amo,1987,3,0.832800852,NA
amo,1987,4,0.96485623,NA
amo,1987,5,1.047923323,NA
amo,1987,6,1.335463259,NA
amo,1987,7,1.497337593,NA
amo,1987,8,1.499467519,NA
amo,1987,9,1.31629393,NA
amo,1987,10,1.001064963,NA
amo,1987,11,0.75399361,NA
amo,1987,12,0.994675186,NA
amo,1988,1,0.813631523,NA
amo,1988,2,0.653887114,NA
amo,1988,3,0.879659212,NA
amo,1988,4,1.009584665,NA
amo,1988,5,1.190628328,NA
amo,1988,6,1.250266241,NA
amo,1988,7,1.130990415,NA
amo,1988,8,0.879659212,NA
amo,1988,9,0.694355698,NA
amo,1988,10,0.532481363,NA
amo,1988,11,0.581469649,NA
amo,1988,12,0.547390841,NA
amo,1989,1,0.423855165,NA
amo,1989,2,0.562300319,NA
amo,1989,3,0.355697551,NA
amo,1989,4,0.279020234,NA
amo,1989,5,0.583599574,NA
amo,1989,6,1.088391906,NA
amo,1989,7,1.271565495,NA
amo,1989,8,1.135250266,NA
amo,1989,9,0.694355698,NA
amo,1989,10,0.632587859,NA
amo,1989,11,0.575079872,NA
amo,1989,12,0.568690096,NA
amo,1990,1,0.25772098,NA
amo,1990,2,0.549520767,NA
amo,1990,3,0.513312034,NA
amo,1990,4,0.645367412,NA
amo,1990,5,0.768903088,NA
amo,1990,6,0.775292865,NA
amo,1990,7,0.84771033,NA
amo,1990,8,1.005324814,NA
amo,1990,9,1.207667732,NA
amo,1990,10,1.135250266,NA
amo,1990,11,0.779552716,NA
amo,1990,12,0.817891374,NA
amo,1991,1,0.479233227,NA
amo,1991,2,0.645367412,NA
amo,1991,3,0.745473908,NA
amo,1991,4,0.611288605,NA
amo,1991,5,0.56656017,NA
amo,1991,6,0.617678381,NA
amo,1991,7,0.664536741,NA
amo,1991,8,0.66027689,NA
amo,1991,9,0.813631523,NA
amo,1991,10,0.334398296,NA
amo,1991,11,0.336528222,NA
amo,1991,12,0.436634718,NA
amo,1992,1,0.485623003,NA
amo,1992,2,0.690095847,NA
amo,1992,3,0.694355698,NA
amo,1992,4,0.498402556,NA
amo,1992,5,0.417465389,NA
amo,1992,6,0.568690096,NA
amo,1992,7,0.423855165,NA
amo,1992,8,0.078807242,NA
amo,1992,9,0.102236422,NA
amo,1992,10,0.251331203,NA
amo,1992,11,0.176783813,NA
amo,1992,12,0.283280085,NA
amo,1993,1,0.379126731,NA
amo,1993,2,0.49201278,NA
amo,1993,3,0.368477103,NA
amo,1993,4,0.51970181,NA
amo,1993,5,0.541001065,NA
amo,1993,6,0.502662407,NA
amo,1993,7,0.298189563,NA
amo,1993,8,0.402555911,NA
amo,1993,9,0.53887114,NA
amo,1993,10,0.370607029,NA
amo,1993,11,0.21086262,NA
amo,1993,12,0.264110756,NA
amo,1994,1,0.25772098,NA
amo,1994,2,0.230031949,NA
amo,1994,3,0.293929712,NA
amo,1994,4,0.462193823,NA
amo,1994,5,0.447284345,NA
amo,1994,6,0.415335463,NA
amo,1994,7,0.394036209,NA
amo,1994,8,0.385516507,NA
amo,1994,9,0.562300319,NA
amo,1994,10,0.760383387,NA
amo,1994,11,0.845580405,NA
amo,1994,12,0.694355698,NA
amo,1995,1,0.75399361,NA
amo,1995,2,0.80085197,NA
amo,1995,3,0.920127796,NA
amo,1995,4,1.047923323,NA
amo,1995,5,1.465388711,NA
amo,1995,6,1.661341853,NA
amo,1995,7,1.55484558,NA
amo,1995,8,1.275825346,NA
amo,1995,9,1.001064963,NA
amo,1995,10,1.103301384,NA
amo,1995,11,1.156549521,NA
