EwEVersion,"6.6.8.18072 (compiled 11/4/2022)"
Date,"10/17/2023 10:05:33 AM"
ModelName,"NWACS AM 7ages"
EcosimScenario,forcing_pdsi_egg_amo1
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,Mortality

year\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
1995,1.257419,0.5973454,0.2711098,3.267637,1.475164,1.781743,1.847903,1.367926,1.088342,0.7184107,0.321783,2.793428,0.8450706,2.537635,1.22963,2.4941,0.9051158,2.608124,2.30229,40.38584,150.7741,0
1996,1.270591,0.5899642,0.2430648,1.091426,1.534409,2.111432,1.845354,1.214106,1.15068,0.724874,0.3182762,2.474353,0.855114,1.327579,1.202447,1.215343,0.7929581,1.94398,2.325218,43.18881,213.2373,0
1997,1.171546,0.6051655,0.2609594,1.669937,1.311501,2.391652,2.126876,1.24103,1.092388,0.8182828,0.3186003,1.482823,0.9113784,1.091095,1.270758,1.12746,0.8675794,2.32294,2.697455,51.81033,166.5057,0
1998,1.180951,0.6117194,0.3379253,1.824462,1.6627,1.974544,2.311826,1.368252,1.041912,0.7966853,0.3191068,1.875108,0.8522081,1.682241,1.355533,1.544048,0.8788967,2.508865,2.514665,47.51416,163.1388,0
1999,1.261711,0.6321278,0.4017117,3.303776,1.752007,3.122861,2.065482,1.649642,1.215535,0.8417115,0.3218155,3.016824,0.7833725,2.745564,1.548342,2.669329,1.003364,2.896607,2.346278,39.46245,144.4408,0
2000,1.31286,0.6449003,0.3614978,1.349769,1.759113,3.097978,2.832098,1.223946,1.241985,0.8059859,0.3202654,2.86054,0.837499,1.465274,1.549805,1.443052,0.9141462,2.233905,2.358171,45.92577,183.0731,0
2001,1.295775,0.6397944,0.3774061,2.011954,1.698029,3.815658,3.337887,1.974205,1.051478,0.8722859,0.3211437,2.953545,0.8977855,1.60146,1.405732,1.654149,1.005739,2.363079,2.464716,47.3597,157.1198,0
2002,1.329553,0.6378279,0.3688759,3.923584,2.85093,6.047768,6.109509,3.07447,1.928709,0.9792302,0.3236372,3.246923,0.7663963,2.452984,1.539901,2.838552,1.017358,2.505119,2.190943,33.29494,111.5127,0
2003,1.329903,0.6354327,0.3821962,1.213378,2.174506,4.891078,3.022252,2.258056,1.500423,0.8378566,0.3195127,2.181828,0.7906508,0.9107036,1.244462,1.200675,0.898823,1.749781,2.243025,43.16234,210.0235,0
2004,1.218797,0.6429828,0.3598235,1.043824,2.502408,9.063583,8.30961,3.024089,2.271021,1.0948,0.3187879,1.795844,0.8068633,0.7425137,1.148337,0.8163725,0.9637189,1.93861,2.668092,48.60231,200.5478,0
2005,1.146601,0.6447785,0.3694351,1.380378,1.803705,2.560694,2.406261,1.839697,1.143347,0.8442231,0.3199797,1.654297,0.7661841,1.096134,1.206406,1.229446,1.008191,2.483064,2.643471,47.62863,185.5343,0
2006,1.144879,0.6493463,0.3901478,1.0909,1.733806,3.124965,1.947841,1.321484,1.282317,0.8110194,0.3193147,1.854764,0.7892128,1.379246,1.264992,1.348761,1.044327,2.466435,2.520371,44.96025,201.819,0
2007,1.121045,0.6504012,0.4165078,1.570309,1.532372,2.770024,2.410309,1.048095,0.9751098,0.810405,0.3198455,1.1487,0.8126989,1.246218,1.345798,1.300915,1.119564,2.996492,2.712279,53.63337,142.8746,0
2008,1.31499,0.6568236,0.4339032,2.666526,1.573578,1.99552,2.102977,1.282679,0.7671886,0.7746303,0.3220992,3.192752,0.8401463,3.327587,1.322385,2.590453,1.088885,3.070449,2.309983,36.95462,181.914,0
2009,1.328025,0.6561786,0.4736135,1.008614,1.562115,2.349244,1.668696,1.203203,0.9852324,0.6356325,0.3205771,2.322697,0.8133518,1.639111,1.263775,1.176849,1.189851,2.312618,2.439294,44.60504,204.0182,0
2010,1.219697,0.6440369,0.3940983,1.205462,1.2727,2.047827,2.101742,1.025279,0.9992049,0.6789596,0.3197183,1.62209,0.8446648,1.110452,1.11165,1.008845,0.9575968,2.479883,2.708835,51.7746,173.2992,0
2011,1.279987,0.6818907,0.4049006,1.951007,1.404548,1.458263,1.727141,1.225434,0.8336515,0.680085,0.321265,2.534316,0.8073228,2.438399,1.126374,1.918198,0.9794974,2.77428,2.439105,41.52265,192.5481,0
2012,1.259499,0.6591122,0.3889686,2.272995,1.581435,2.236128,1.662791,1.255666,1.15386,0.6564678,0.321814,2.930593,0.7751397,2.301553,1.234793,1.916562,1.097621,2.854103,2.527545,47.89807,144.7999,0
2013,1.363498,0.6746415,0.433538,2.222106,1.417844,1.668152,1.754718,0.9233334,0.9787892,0.7095457,0.3225239,3.70031,0.7414115,2.482379,1.207046,2.38537,1.022507,2.452821,2.270838,41.40691,176.8807,0
2014,1.341368,0.6647549,0.4370022,1.510329,1.300139,1.825561,1.656012,1.186239,0.8513744,0.7205673,0.3219126,3.182331,0.7016509,1.559783,1.135041,1.393871,1.028987,2.209143,2.424171,46.33397,183.4149,0
2015,1.324201,0.6781731,0.4530843,2.509561,1.382544,1.459061,1.750215,1.096824,1.12948,0.6816446,0.3227907,3.326146,0.7851529,1.934273,1.179131,1.955906,1.016507,2.288286,2.381582,45.0058,161.9696,0
2016,1.329981,0.6948426,0.5373275,3.09788,1.493721,1.502505,1.400031,1.151281,1.018593,0.8047566,0.3236286,3.635426,0.7095053,2.053168,1.167659,2.542566,1.027653,2.219802,2.256169,43.13979,141.0243,0
2017,1.361843,0.6955948,0.4717778,2.748532,1.419116,1.586082,1.513995,0.95013,1.06096,0.7706884,0.3237889,3.652917,0.9236471,1.924304,1.154571,2.25064,0.9695585,2.003047,2.084911,37.14846,152.8583,0
