EwEVersion,"6.6.8.18072 (compiled 11/4/2022)"
Date,"10/17/2023 10:05:32 AM"
ModelName,"NWACS AM 7ages"
EcosimScenario,forcing_pdsi_egg_amo1
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,ConsumptionBiomass

timestep\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
18,7.307243,2.441391,1.451071,15.22534,7.031318,3.746608,3.042195,2.640524,2.313386,2.234658,1.51395,13.15256,3.205282,8.664448,3.214967,9.125407,2.45671,4.077992,9.048827,114.9277,0,0
19,6.939305,2.371571,1.403713,19.34152,7.588809,3.987106,3.110792,2.679759,2.342218,2.275178,1.47955,13.05132,3.182006,8.907851,3.134002,10.13315,2.38341,3.961145,9.476402,127.7743,0,0
20,6.552252,2.327911,1.365854,23.90069,8.779866,4.640195,3.504143,3.001917,2.622703,2.558313,1.48206,13.15493,3.17527,9.366378,3.124413,11.41449,2.507721,4.233556,10.40178,144.871,0,0
21,6.361549,2.292019,1.338196,25.76245,9.091559,4.86518,3.63952,3.105399,2.715016,2.633623,1.486812,13.37805,3.174062,9.802749,3.122963,12.01752,2.623794,4.247155,10.43586,141.9995,0,0
22,6.438571,2.251375,1.31076,20.2108,9.260501,4.824112,3.570513,3.037702,2.658955,2.56502,1.474123,13.21071,3.168956,10.11869,3.092547,11.6292,2.624254,4.058276,10.1488,134.7271,0,0
23,6.513814,2.226667,1.286166,17.57662,10.37738,5.207853,3.774509,3.21072,2.817286,2.720543,1.473114,13.1153,3.17031,10.45446,3.08925,11.53833,2.692942,4.171801,10.5984,142.2812,0,0
24,6.395887,2.248974,1.277728,24.69595,12.79672,6.637929,4.727802,4.047828,3.572057,3.468338,1.533441,13.21792,3.205303,10.96937,3.219491,12.66027,3.106114,5.142371,12.61185,170.0298,0,0
25,6.31312,2.312871,1.292961,24.53146,14.64277,8.474125,5.924688,5.153561,4.576734,4.429514,1.669483,14.45082,3.289742,11.60301,3.496464,14.52417,3.821769,6.642992,14.6726,186.0039,0,0
26,6.596048,2.380706,1.325809,21.52715,14.34002,8.713263,6.135142,5.440496,4.859705,4.654401,1.770034,14.71916,3.37323,11.8101,3.702363,13.79373,4.211496,7.26895,14.50072,172.1293,0,0
27,7.052896,2.436926,1.355499,16.79229,13.58981,8.662541,5.986863,5.406911,4.851423,4.630752,1.819087,14.80394,3.448398,11.57121,3.802588,12.07074,4.274945,7.519521,14.12823,162.7176,0,0
28,7.353633,2.510362,1.390416,14.6057,13.91286,9.242393,6.209415,5.692819,5.129553,4.922921,1.891316,14.91138,3.541464,11.31697,3.941771,11.28022,4.41662,8.284366,14.84409,169.3006,0,0
29,7.512419,2.55024,1.428269,13.65173,11.84335,8.387654,5.645692,5.196941,4.692268,4.469397,1.891471,14.76778,3.602879,10.69245,3.925639,10.41925,4.23007,7.836764,13.39512,150.3583,0,0
30,7.666283,2.553008,1.445357,15.42361,8.726545,7.572412,4.946399,4.521211,4.081561,3.880365,1.826543,14.45992,3.633525,9.879974,3.787029,9.384432,3.815738,6.993518,12.04644,136.4639,0,0
31,7.682373,2.511,1.4427,15.18977,8.17514,6.332348,4.170501,3.757303,3.384809,3.210922,1.726736,14.09331,3.628779,9.143599,3.578756,8.744977,3.322596,5.874422,10.59925,121.7076,0,0
32,7.637222,2.440596,1.42413,13.4133,7.631423,5.100313,3.424957,3.021769,2.712248,2.570143,1.614995,13.72353,3.598324,8.645241,3.345571,8.493397,2.823988,4.721186,9.292618,107.77,0,0
33,7.464318,2.368744,1.394113,16.5828,7.534816,4.552177,3.087343,2.65997,2.377833,2.288263,1.532883,13.43598,3.560963,8.555373,3.171412,8.921033,2.490338,4.07681,8.975606,110.7423,0,0
34,7.133825,2.30292,1.362403,20.64981,7.286551,4.707898,3.017063,2.542999,2.265117,2.218121,1.483198,13.2087,3.52424,8.793013,3.064153,9.978599,2.334038,3.761933,9.063311,118.2747,0,0
35,6.818948,2.248344,1.330348,21.67309,7.141624,5.108824,3.043755,2.519717,2.23864,2.21927,1.452278,13.01629,3.490402,9.164548,2.999279,11.03116,2.278884,3.582397,9.201207,123.422,0,0
36,6.612671,2.204628,1.300559,21.00765,8.106634,4.951496,3.074698,2.511918,2.229519,2.227923,1.429621,12.83786,3.4602,9.531199,2.954824,11.64252,2.262794,3.439012,9.272061,125.2654,0,0
37,6.513665,2.163751,1.28253,20.23624,8.010752,4.976542,3.227138,2.509253,2.233719,2.241648,1.411464,11.64056,3.430396,9.867445,2.974272,11.54806,2.270988,3.318658,9.311827,125.7589,0,0
38,6.442677,2.136854,1.258972,21.63519,8.584155,5.348115,3.532891,2.665149,2.388607,2.418375,1.406365,11.61762,3.41254,10.18637,3.002169,11.88075,2.345975,3.400933,9.767632,133.7594,0,0
39,6.411031,2.112483,1.241345,20.89316,8.6082,5.66344,3.810951,2.754727,2.48978,2.513927,1.405286,11.63473,3.398804,10.43369,3.039644,11.74136,2.44212,3.421942,9.898147,133.9974,0,0
40,6.507472,2.086588,1.223951,18.6506,8.102936,5.876626,3.962099,2.741178,2.494787,2.507621,1.396811,11.65624,3.384384,10.60889,3.055529,11.40534,2.478017,3.330551,9.771796,129.7368,0,0
