EwEVersion,"6.6.8.18072 (compiled 11/4/2022)"
Date,"10/17/2023 10:05:33 AM"
ModelName,"NWACS AM 7ages"
EcosimScenario,forcing_pdsi_egg_amo1
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,Mortality

timestep\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
1,1.118423,0.6495545,0.3345833,1.870563,1.341853,1.299033,1.406339,0.9869792,0.9564265,0.7213541,0.3211262,3.29465,0.8059624,1.459758,1.316209,1.63814,0.8244457,2.23122,2.472273,52.28188,86.7178,0
2,1.114289,0.6515264,0.3353251,1.966251,1.38653,1.332418,1.433855,1.006912,0.9718967,0.7332836,0.3216264,3.288919,0.8074207,1.500413,1.326621,1.708291,0.8406148,2.295754,2.508855,55.25404,99.63624,0
3,1.113364,0.6538536,0.3362906,2.271221,1.430144,1.364517,1.460645,1.026039,0.9873093,0.7447659,0.3221578,3.315243,0.8094238,1.574073,1.339465,1.819578,0.8575699,2.361757,2.518568,57.17551,81.25784,0
4,1.113673,0.6564981,0.3374912,2.870186,1.47792,1.397394,1.487594,1.04488,1.002913,0.7565698,0.3226832,3.383614,0.811941,1.6913,1.353839,2.001216,0.8746619,2.429055,2.511935,58.97533,26.50395,0
5,1.121733,0.6588542,0.3387622,3.56271,1.484053,1.404264,1.494949,1.051942,1.008562,0.761568,0.3231336,3.499756,0.8144857,1.853853,1.366185,2.218729,0.8855292,2.477018,2.463341,50.72428,198.7111,0
6,1.142196,0.6608858,0.3398081,3.699069,1.446248,1.386774,1.482879,1.047703,1.004799,0.7601696,0.3233657,3.671791,0.8164834,2.040884,1.374305,2.427973,0.8864354,2.481467,2.375732,39.50812,185.5571,0
7,1.170738,0.6617771,0.3404531,3.122694,1.3325,1.324635,1.436292,1.023432,0.9839442,0.7467227,0.3233739,3.893408,0.8172889,2.204686,1.374274,2.432769,0.8705313,2.438513,2.262437,27.71593,203.0346,0
8,1.193786,0.6605781,0.3404686,2.944006,1.207566,1.242698,1.3673,0.9850993,0.9509849,0.7246671,0.3229319,4.131852,0.816347,2.27404,1.36183,2.200938,0.8331075,2.331973,2.150766,25.57062,205.6389,0
9,1.19362,0.6587071,0.3400195,3.02686,1.164042,1.195935,1.319624,0.9573575,0.9267383,0.7082829,0.322107,4.338814,0.8143076,2.268793,1.343861,2.170661,0.7974457,2.218267,2.118426,31.3035,194.5408,0
10,1.178675,0.6573313,0.3395033,2.794595,1.178211,1.183105,1.300087,0.9450761,0.9154503,0.7004423,0.3213383,4.466216,0.8122635,2.227179,1.328015,2.174076,0.7787669,2.135211,2.147573,37.21561,185.7809,0
11,1.160022,0.6554226,0.3389396,2.410956,1.186461,1.167832,1.281605,0.9327343,0.9038342,0.6917931,0.3207258,4.465057,0.810102,2.119166,1.311846,2.03066,0.7674226,2.066359,2.178523,38.80262,212.7082,0
12,1.143005,0.6541344,0.3383615,2.313304,1.261614,1.20651,1.309234,0.9490635,0.9172481,0.7012663,0.3202328,4.389929,0.8087637,1.993841,1.306658,1.920073,0.7779413,2.032639,2.26184,46.69231,130.6829,0
13,1.129479,0.6633424,0.3077199,1.864091,1.346492,1.238942,1.340431,0.9654583,0.9341053,0.71077,0.3204124,4.267203,1.30186,1.854877,1.426802,1.314132,0.736374,2.061208,2.349323,49.84645,153.9428,0
14,1.126299,0.6628292,0.3076156,1.866972,1.392379,1.261783,1.365412,0.9785889,0.9472509,0.717692,0.3206993,4.074271,1.300107,1.69811,1.430485,1.214065,0.7524098,2.092696,2.397954,50.62267,167.7777,0
15,1.129227,0.6629443,0.307659,1.842204,1.445678,1.286308,1.389746,0.991948,0.9605563,0.7252606,0.3210147,3.884857,1.299242,1.56584,1.437124,1.159682,0.7674612,2.127265,2.428897,51.66246,152.5535,0
