EwEVersion,"6.6.8.18072 (compiled 11/4/2022)"
Date,"10/17/2023 10:05:33 AM"
ModelName,"NWACS AM 7ages"
EcosimScenario,forcing_pdsi_egg_amo1
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,Catch

year\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
2005,3.7167E-06,0.006607826,0.02100912,0.0005849539,0.07456668,0.06229505,9.556581E-05,1.045676E-05,1.807154E-06,0.0001768234,0.007523654,0.0007748371,0.03206582,1.971798E-06,0.001574385,0.0001727466,0.2405121,0,0,0,0,0
2006,5.175038E-06,0.007399453,0.0301498,0.0008100721,0.03934686,0.130853,0.004755806,5.79958E-06,1.16754E-06,7.225446E-05,0.007815907,0.0009882505,0.04247255,2.198913E-06,0.002470666,0.007811507,0.3284765,0,0,0,0,0
2007,1.028744E-05,0.009457856,0.045275,0.001391923,0.04990222,0.05806778,0.009277572,0.0002284231,5.30148E-07,2.522703E-05,0.008378112,0.001350835,0.06176561,3.596349E-06,0.004178968,0.001552808,0.3713307,0,0,0,0,0
2008,1.218412E-05,0.00922743,0.04142544,0.0003250822,0.04057171,0.1046425,0.003556599,0.0004480557,2.133915E-05,6.46049E-06,0.008239035,0.000665092,0.05664547,2.180888E-06,0.001736139,0.000889152,0.223535,0,0,0,0,0
2009,1.39377E-05,0.01207129,0.03691974,0.0006747064,0.01593904,0.138548,0.02233345,0.00047703,8.505123E-05,8.544493E-06,0.008222339,0.0002484036,0.04424493,5.224954E-07,0.001398416,0.0001280547,0.3557642,0,0,0,0,0
2010,1.333546E-05,0.01327355,0.02621239,0.001933401,0.06155736,0.04120496,0.02628661,0.002542167,8.474488E-05,2.695889E-05,0.008684443,0.0009350123,0.05503975,1.578973E-06,0.0007753968,0,0.2355911,0,0,0,0,0
2011,1.038617E-05,0.01656304,0.02728566,0.0008743277,0.06567598,0.1496852,0.004306302,0.00178294,0.0002458181,1.953149E-05,0.008704362,0.001266035,0.04894234,1.087904E-06,0.0003762509,0.001207164,0.2239903,0,0,0,0,0
2012,1.148352E-05,0.01268676,0.02766609,0.001071771,0.05010939,0.2844416,0.03728253,0.00078111,0.0004485174,7.784856E-05,0.008738256,0.001114863,0.04220227,2.001586E-06,0.0009870051,0.0001963587,0.2316834,0,0,0,0,0
2013,8.99464E-06,0.01103942,0.02858526,0.0003802492,0.02635815,0.09188607,0.03035011,0.003232596,7.364933E-05,7.79368E-05,0.008327332,0.0005630206,0.02925084,2.872524E-07,0.0005567991,0.001754406,0.1378412,0,0,0,0,0
2014,8.084314E-06,0.009596816,0.02622308,0.001400731,0.02605391,0.09577343,0.02699112,0.005693061,0.0006650466,7.455988E-05,0.008106587,0.0006599186,0.02198306,4.026235E-07,0.0003037888,0.001128587,0.1353321,0,0,0,0,0
2015,5.405282E-06,0.008938626,0.02457341,0.000925648,0.04079562,0.05581688,0.01450671,0.002546668,0.0006466398,0.0001052601,0.007801625,0.0002877298,0.02706303,1.573379E-06,0.0003909051,8.735893E-05,0.1002259,0,0,0,0,0
2016,3.53986E-06,0.007343597,0.02418097,0.0002157729,0.01407251,0.0704044,0.008188765,0.00119473,0.0002373115,9.451861E-05,0.007279377,0.0003880308,0.01587236,3.890587E-07,0.0002245384,0.0002764973,0.07604463,0,0,0,0,0
2017,2.090944E-06,0.004887752,0.01392258,9.060946E-05,0.005288331,0.04461931,0.02078966,0.001490316,0.0002110627,9.429089E-05,0.006636811,0.0003371322,0.02267327,3.529498E-07,0.0001997218,0.0002216723,0.05182115,0,0,0,0,0
