EwEVersion,"6.6.8.18072 (compiled 11/4/2022)"
Date,"10/17/2023 10:05:33 AM"
ModelName,"NWACS AM 7ages"
EcosimScenario,forcing_pdsi_egg_amo1
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,AvgWeightOrProdCons

timestep\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
1,0.003125074,0.08997416,0.4535761,0.002858839,0.04752658,0.1537759,0.2930802,0.4368039,0.5634612,0.7199871,0.1773481,0.001361535,0.1431783,0.002400517,0.07465879,0.002805502,0.1183673,0.3000136,0.1950089,0.2965718,0,0
2,0.003149905,0.0895066,0.4526282,0.002680423,0.04440185,0.1465047,0.2817751,0.4221287,0.5457222,0.6992569,0.1773481,0.001304743,0.1434754,0.002336385,0.07371657,0.002602004,0.1149604,0.3000136,0.1950089,0.2965718,0,0
3,0.003184125,0.08870102,0.4504692,0.00251198,0.0403056,0.1364817,0.2657591,0.4011793,0.5203283,0.6695384,0.1773481,0.001231453,0.1437649,0.002246404,0.07212975,0.00236787,0.1097655,0.3000136,0.1950089,0.2965718,0,0
4,0.003227141,0.08752827,0.4468052,0.002346624,0.03562294,0.1243089,0.2459741,0.3751446,0.488672,0.6323524,0.1773481,0.001145979,0.1439437,0.002144204,0.06992359,0.002141187,0.1031474,0.3000136,0.1950089,0.2965718,0,0
5,0.003259412,0.08604503,0.441584,0.002404888,0.03173402,0.1127965,0.2264356,0.349117,0.4568444,0.5949086,0.1773481,0.001055407,0.1440134,0.002054403,0.06733928,0.001988427,0.09621494,0.3000136,0.1950089,0.2965718,0,0
6,0.003244736,0.08431168,0.435152,0.002977698,0.02942903,0.1037571,0.2100667,0.3268211,0.4293116,0.5625231,0.1773481,0.0009669777,0.1440937,0.001999388,0.06470327,0.002002612,0.09019573,0.3000136,0.1950089,0.2965718,0,0
7,0.003164299,0.08248767,0.4280689,0.004282041,0.02999135,0.10003,0.2011395,0.3137392,0.4125986,0.543156,0.1773481,0.0008883491,0.1444284,0.00200714,0.06245888,0.002297455,0.08661014,0.3000136,0.1950089,0.2965718,0,0
8,0.003041094,0.08083548,0.4211459,0.006356682,0.03412703,0.1029365,0.2022644,0.3133859,0.4108422,0.5418403,0.1773481,0.0008278606,0.145364,0.002107434,0.06114392,0.002899982,0.08724907,0.3000136,0.1950089,0.2965718,0,0
9,0.002944617,0.07942788,0.4149426,0.007981639,0.04068526,0.110263,0.210715,0.3225321,0.4201909,0.5538837,0.1773481,0.0007904092,0.147129,0.002288073,0.06093218,0.003679242,0.09209054,0.3000136,0.1950089,0.2965718,0,0
10,0.002913985,0.0781974,0.4095095,0.00905516,0.04817363,0.1196109,0.2227997,0.3366326,0.4352792,0.5728392,0.1773481,0.000773097,0.1497441,0.002494368,0.06167157,0.004116863,0.09975289,0.3000136,0.1950089,0.2965718,0,0
